Using device: cuda
Starting centralized pretraining for 200 epochs...
Epoch [1/200] | Loss: 1.7463 | Test Acc: 53.23%
Epoch [2/200] | Loss: 1.3605 | Test Acc: 58.96%
Epoch [3/200] | Loss: 1.1853 | Test Acc: 61.92%
Epoch [4/200] | Loss: 1.0868 | Test Acc: 56.67%
Epoch [5/200] | Loss: 1.0264 | Test Acc: 62.94%
Epoch [6/200] | Loss: 0.9940 | Test Acc: 72.21%
Epoch [7/200] | Loss: 0.9657 | Test Acc: 72.43%
Epoch [8/200] | Loss: 0.9442 | Test Acc: 70.73%
Epoch [9/200] | Loss: 0.9370 | Test Acc: 76.90%
Epoch [10/200] | Loss: 0.9237 | Test Acc: 71.50%
Epoch [11/200] | Loss: 0.9098 | Test Acc: 73.74%
Epoch [12/200] | Loss: 0.8980 | Test Acc: 70.07%
Epoch [13/200] | Loss: 0.8934 | Test Acc: 73.51%
Epoch [14/200] | Loss: 0.8913 | Test Acc: 71.89%
Epoch [15/200] | Loss: 0.8812 | Test Acc: 71.90%
Epoch [16/200] | Loss: 0.8808 | Test Acc: 76.45%
Epoch [17/200] | Loss: 0.8769 | Test Acc: 75.06%
Epoch [18/200] | Loss: 0.8692 | Test Acc: 74.85%
Epoch [19/200] | Loss: 0.8599 | Test Acc: 70.27%
Epoch [20/200] | Loss: 0.8637 | Test Acc: 75.62%
Epoch [21/200] | Loss: 0.8567 | Test Acc: 74.34%
Epoch [22/200] | Loss: 0.8585 | Test Acc: 74.81%
Epoch [23/200] | Loss: 0.8550 | Test Acc: 74.38%
Epoch [24/200] | Loss: 0.8548 | Test Acc: 76.06%
Epoch [25/200] | Loss: 0.8487 | Test Acc: 69.60%
Epoch [26/200] | Loss: 0.8485 | Test Acc: 72.50%
Epoch [27/200] | Loss: 0.8439 | Test Acc: 75.73%
Epoch [28/200] | Loss: 0.8390 | Test Acc: 75.86%
Epoch [29/200] | Loss: 0.8330 | Test Acc: 75.98%
Epoch [30/200] | Loss: 0.8417 | Test Acc: 74.61%
Epoch [31/200] | Loss: 0.8353 | Test Acc: 74.43%
Epoch [32/200] | Loss: 0.8326 | Test Acc: 77.40%
Epoch [33/200] | Loss: 0.8352 | Test Acc: 80.24%
Epoch [34/200] | Loss: 0.8305 | Test Acc: 72.80%
Epoch [35/200] | Loss: 0.8277 | Test Acc: 68.59%
Epoch [36/200] | Loss: 0.8271 | Test Acc: 77.82%
Epoch [37/200] | Loss: 0.8254 | Test Acc: 74.96%
Epoch [38/200] | Loss: 0.8238 | Test Acc: 78.77%
Epoch [39/200] | Loss: 0.8236 | Test Acc: 75.73%
Epoch [40/200] | Loss: 0.8222 | Test Acc: 77.63%
Epoch [41/200] | Loss: 0.8224 | Test Acc: 76.95%
Epoch [42/200] | Loss: 0.8183 | Test Acc: 78.01%
Epoch [43/200] | Loss: 0.8196 | Test Acc: 77.17%
Epoch [44/200] | Loss: 0.8153 | Test Acc: 76.50%
Epoch [45/200] | Loss: 0.8165 | Test Acc: 74.88%
Epoch [46/200] | Loss: 0.8090 | Test Acc: 78.26%
Epoch [47/200] | Loss: 0.8141 | Test Acc: 78.52%
Epoch [48/200] | Loss: 0.8111 | Test Acc: 78.53%
Epoch [49/200] | Loss: 0.8044 | Test Acc: 78.84%
Epoch [50/200] | Loss: 0.8056 | Test Acc: 78.57%
Epoch [51/200] | Loss: 0.8081 | Test Acc: 75.66%
Epoch [52/200] | Loss: 0.8023 | Test Acc: 77.64%
Epoch [53/200] | Loss: 0.8025 | Test Acc: 72.26%
Epoch [54/200] | Loss: 0.7994 | Test Acc: 78.52%
Epoch [55/200] | Loss: 0.7956 | Test Acc: 80.73%
Epoch [56/200] | Loss: 0.7980 | Test Acc: 80.50%
Epoch [57/200] | Loss: 0.7959 | Test Acc: 77.45%
Epoch [58/200] | Loss: 0.7956 | Test Acc: 76.31%
Epoch [59/200] | Loss: 0.7921 | Test Acc: 77.40%
Epoch [60/200] | Loss: 0.7890 | Test Acc: 80.75%
Epoch [61/200] | Loss: 0.7910 | Test Acc: 79.18%
Epoch [62/200] | Loss: 0.7923 | Test Acc: 78.53%
Epoch [63/200] | Loss: 0.7843 | Test Acc: 76.48%
Epoch [64/200] | Loss: 0.7912 | Test Acc: 77.41%
Epoch [65/200] | Loss: 0.7832 | Test Acc: 76.55%
Epoch [66/200] | Loss: 0.7810 | Test Acc: 78.62%
